Symbol	Description
KALY	Kalytera Therapeutics Inc
KAP	Kapuskasing Gold Corp
KAR	Karmin Exploration Inc
KASH	Hashchain Technologyinc
KAY.H	Karsten Energy Corp
KBG	Kings Bay Resources Corp
KBLT	Cobalt 27 Capital Corp
KBY	Kona Bay Technologies Inc
KC	Kutcho Copper Corp
KCC	Kincora Copper Limited
KDA	Kda Group Inc
KEN	Kenadyr Mining Holdings Corp
KES	Kesselrun Resources Ltd
KFG	Kfg Resources Ltd
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGL	Kilo Goldmines Ltd
KHA.H	Knighthawk Inc
KHRN	Khiron Life Sciences Corp
