Symbol	Description
BLY	Boart Longyear Ltd
BLYO	Boart Longyear Limited
BLZ	Blaze International Ltd
BMG	Brazilian Metals Group Limited.
BMGOA	Bmg Resources Limited
BMH	Baumart Holdings Limited
BMN	Bannerman Resources Ltd
BMP	Buymyplace.com.au Limited
BMT	Berkut Minerals Limited
BNL	Balkans Gold Ltd
BNO	Bionomics Ltd
BNR	Bulletin Resources Limited
BOA	Boadicea Resources Limited
BOC	Bougainville Copper Ltd (PNG)
BOE	Boss Energy Ltd
BOL	Boom Logistics Ltd
BOQ	Bank of Queensland Ltd
BOQBOD	Bank Of Queensland Limited.
BOQBON	Bank Of Queensland Limited.
BOQBOR	Bank Of Queensland Limited.
BOQKOE	Bank Of Queensland Limited.
BOQKOF	Bank Of Queensland Limited.
BOQKOP	Bank Of Queensland Limited.
BOQKOQ	Bank Of Queensland Limited.
BOQKOR	Bank Of Queensland Limited.
BOQPE	Bank Of Queensland Limited.
BOT	Botanix Pharmaceuticals Ltd
BPG	Byte Power Group Ltd
BPH	BioPharmica Ltd
BPL	Broken Hill Prospecting Limited
BPLO	Broken Hill Prospecting Limited
BPP	Babylon Pump & Power Limited
BPPOA	Babylon Pump & Power Limited
BPT	Beach Petroleum Ltd
BPTKOA	Beach Energy Limited
BPTKOB	Beach Energy Limited
BPTKOC	Beach Energy Limited
BPTKOP	Beach Energy Limited
BPTKOS	Beach Energy Limited
BRB	Breaker Resources Nl
BRBCA	Breaker Resources Nl
BRC	Brain Resource Company Ltd (The)
BRG	Breville Group Ltd
BRI	Breakwater Island Trust
BRK	BreakFree Ltd
BRKO	Brookside Energy Limited
BRL	Brl Hardy
BRN	Brainchip Holdings Ltd
BRO	BroadTel Communications Ltd
BRU	Buru Energy Ltd
BSA	Broadcast Services Australia Ltd
BSE	BSE
BSL	BlueScope Steel Ltd
BSLKOA	Bluescope Steel Limited
BSLKOD	Bluescope Steel Limited
BSLKOE	Bluescope Steel Limited
BSLKOP	Bluescope Steel Limited
BSLKOQ	Bluescope Steel Limited
BSLKOS	Bluescope Steel Limited
BSM	Bass Metals Ltd
BSMOB	Bass Metals Ltd
BSN	Bisan Ltd
BSP	Black Star Petroleum Limited
BSR	Bassari Resources Ltd
BSROB	Bassari Resources Limited
BST	Barrack St Investments Limited
BSX	Blackstone Minerals Limited
BTC	BioTech Capital Ltd
BTH	Bigtincan Holdings Limited
BTI	Bailador Technology Investments Limited
BUB	Bubs Australia Limited
BUD	Buddy Platform Ltd
BUG	Buderim Ginger Ltd
BUL	Blue Energy Ltd
BUX	Buxton Resources Ltd
BUY	Bounty Oil & Gas NL
BVS	Bravura Solutions Limited.
BWF	Blackwall Property Funds Limited
BWP	Bunnings Warehouse Property Trust
BWR	Blackwall Property Trust
BWX	Bwx Limited
BXB	Brambles Ltd
BXBBON	Brambles Limited
BXBBOP	Brambles Limited
BXBKOB	Brambles Limited
BXBKOC	Brambles Limited
BXBKOE	Brambles Limited
BXBKOP	Brambles Limited
BXBKOR	Brambles Limited
BXN	Bioxyne Limited
BYE	Byron Energy Limited
BYH	Bryah Resources Limited
BYHO	Bryah Resources Limited
BYI	Beyond International Ltd
C6C	Copper Mountain Mining Corporation
CA8	Coassets Limited.
CA8O	Coassets Limited.
CAA	Capral Aluminium Ltd
CAB	Cabcharge Australia Ltd
CAD	Caeneus Minerals Ltd
CADO	Caeneus Minerals Ltd
CAE	Cannindah Resources Limited
CAF	Centrepoint Alliance Ltd
CAG	Cape Range Wireless Ltd
CAI	Casinos Austria International
CAIO	Calidus Resources Limited
CAJ	Capitol Health Ltd
CAM	Clime Capital Ltd
CAMG	Clime Capital Limited
CAN	Cann Group Limited
CAP	Carpentaria Exploration Ltd
CAQ	Cell Aquaculture Ltd
CAR	Carsales.com Limited.
CARKOD	Carsales.com Limited.
CARKOQ	Carsales.com Limited.
CARKOR	Carsales.com Limited.
CAS	Crusader Holdings NL
CAT	Catuity Inc (USA)
CAV	Carnavale Resources Ltd
CAY	Canyon Resources Ltd
CAZ	Cazaly Resources Ltd
CAZO	CAZO
CBA	Commonwealth Bank Ltd
CBABOA	Commonwealth Bank Of Australia.
CBABOB	Commonwealth Bank Of Australia.
CBABOD	Commonwealth Bank Of Australia.
CBABOH	Commonwealth Bank Of Australia.
CBABOK	Commonwealth Bank Of Australia.
CBABON	Commonwealth Bank Of Australia.
CBABOR	Commonwealth Bank Of Australia.
CBAKOB	Commonwealth Bank Of Australia.
CBAKOC	Commonwealth Bank Of Australia.
CBAKOD	Commonwealth Bank Of Australia.
CBAKOE	Commonwealth Bank Of Australia.
CBAKOF	Commonwealth Bank Of Australia.
CBAKOH	Commonwealth Bank Of Australia.
CBAKOK	Commonwealth Bank Of Australia.
CBAKOM	Commonwealth Bank Of Australia.
CBAKOR	Commonwealth Bank Of Australia.
CBAKOT	Commonwealth Bank Of Australia.
CBAKOV	Commonwealth Bank Of Australia.
CBAKOW	Commonwealth Bank Of Australia.
CBAKOX	Commonwealth Bank Of Australia.
CBAKOY	Commonwealth Bank Of Australia.
CBAKOZ	Commonwealth Bank Of Australia.
CBALOA	Commonwealth Bank Of Australia.
CBALOB	Commonwealth Bank Of Australia.
CBALOD	Commonwealth Bank Of Australia.
CBALOF	Commonwealth Bank Of Australia.
CBALOI	Commonwealth Bank Of Australia.
CBALOJ	Commonwealth Bank Of Australia.
CBALOP	Commonwealth Bank Of Australia.
CBALOQ	Commonwealth Bank Of Australia.
CBALOT	Commonwealth Bank Of Australia.
CBALOU	Commonwealth Bank Of Australia.
CBALOV	Commonwealth Bank Of Australia.
CBAMOP	Commonwealth Bank Of Australia.
CBAMOQ	Commonwealth Bank Of Australia.
CBAPC	Commonwealth Bank Of Australia.
CBAPD	Commonwealth Bank Of Australia.
CBAPE	Commonwealth Bank Of Australia.
CBAPF	Commonwealth Bank Of Australia.
CBAPG	Commonwealth Bank Of Australia.
CBC	China Broadband Corporation ltd
CBL	Cbl Corporation Limited
CCA	Chimpchange Limited
CCE	Clinical Cell Culture Ltd
CCG	Commschoice Group Limited
CCJ	County Coal Limited
CCL	Coca-Cola Amatil Ltd
CCLBOR	Coca-cola Amatil Limited
CCLBOT	Coca-cola Amatil Limited
CCLKOA	Coca-cola Amatil Limited
CCLKOD	Coca-cola Amatil Limited
CCLKOP	Coca-cola Amatil Limited
CCLKOT	Coca-cola Amatil Limited
CCP	Credit Corp Group Ltd
CCPKOC	Credit Corp Group Limited
CCPKOE	Credit Corp Group Limited
CCV	Cash Converters International Ltd
CCZ	Castillo Copper Limited
CD1	Cordish Dixon Private Equity Fund I
CD2	Cordish Dixon Private Equity Fund Ii
CD3	Cordish Dixon Private Equity Fund Iii
CDA	Codan Ltd
CDB	Condor Blanco Mines Limited
CDC	Child Care Centres Australia
CDD	Cardno Ltd
CDDKOB	Cardno Limited
CDDKOQ	Cardno Limited
CDDKOR	Cardno Limited
CDG	Cleveland Mining Company Limited
CDH	Chongherr Investments Ltd
CDM	Cadence Capital Ltd
CDP	Carindale Property Trust
CDT	Castle Minerals Ltd
CDU	CuDeco Ltd
CDV	Cardinal Resources Limited
CDVOA	Cardinal Resources Limited
CDX	CDS Technologies Ltd
CDXO	Cardiex Limited
CDY	Cellmid Limited
CE1	Calima Energy Limited
CEL	CEL
CEN	Central Australian Phosphate Limited
CETF	CETF
CFE	Cape Lambert Iron Ore Ltd
CFO	Cfoam Limited
CG1	Carbonxt Group Limited
CGA	Contango Asset Management Limited
CGC	Consolidated Gaming Corporation
CGCKOB	Costa Group Holdings Limited
CGF	Challenger Financial Services Group
CGFKOA	Challenger Limited
CGFKOD	Challenger Limited
CGFKOI	Challenger Limited
CGFKOQ	Challenger Limited
CGFKOR	Challenger Limited
CGFPA	Challenger Limited
CGFPB	Challenger Limited
CGL	The Citadel Group Limited
CGM	Cougar Metals NL
CGN	Crater Gold Mining Limited
CGO	CPT Global Ltd
CGR	Careers Multilist Limited
CGS	Cogstate Ltd
CHC	Charter Hall Group
CHCKOA	Charter Hall Group
CHCKOC	Charter Hall Group
CHCKOP	Charter Hall Group
CHK	Cohiba Minerals Limited
CHKO	Cohiba Minerals Limited
CHN	Chalice Gold Mines Ltd
CHP	Chapmans Ltd
CHPO	Chapmans Limited
CHR	Chalmers Ltd
CHZ	Chesser Resources Ltd
CI1	Credit Intelligence Ltd
CIA	Champion Iron Limited
CIE	Contango Income Generator Limited
CII	CI Resources Ltd
CIM	Cimic Group Limited
CIMKOA	Cimic Group Limited
CIMKOD	Cimic Group Limited
CIMKOI	Cimic Group Limited
CIMKOP	Cimic Group Limited
CIMKOQ	Cimic Group Limited
CIMKOT	Cimic Group Limited
CIMKOU	Cimic Group Limited
CIN	Carlton Investments Ltd
CINPA	Carlton Investments PA
CIO	Connected Io Limited
CIP	Centuria Industrial Reit
CIW	Clime Investment Management Ltd
CIZ	CIZ
CKA	Cokal Limited
CKF	Collins Foods Limited
CL1	Class Limited
CL8	Collaborate Corporation Limited
