Symbol	Description
0HQW	STALLERGENES EUR0.95
0HQY	SECURITAS AB SER`B`NPV
0HR3	DUNI AB SEK10
0HRJ	SSAB(SVENSKT STAL)AB SER`A`NPV
0HRR	STALLERGENES EUR0.95
0HRV	GLASTON OYJ NPV
0HRZ	L`OREAL EUR0.20
0HT4	FIAT SPA DI RISP EUR5(NON CNV)
0HTF	NORWEGIAN ENERGY CO SA NOK3.10
0HTP	VOLVO(AB) SER`B`NPV
0HTS	INTEX RESOURCES ASA NOK0.5
0HTX	ZUMTOBEL AG EUR10
0HTZ	COFINIMMO ORD NPV
0HV2	HERMES INTERNATIONAL NPV
0HV8	FONCIER FINANCIERE ET DE PARTICIP EUR2
0HVA	HAULOTTE GROUP EUR0.13
0HVB	INGENICO EUR1
0HVF	TESFRAN EUR20
0HVP	ROYAL CARIBBEAN CRUISES COM STK USD0.01
0HW0	KONGSBERG AUTOMOTIVE ASA NOK0.50
0HW4	SECURITAS AB SER`B`NPV
0HW6	DORO AB NPV
0HWG	NYSE EURONEXT INC COM STK USD0.01
0HWL	UNIPETROL CZK100
0HX8	WEST SIBERIAN RESOURCES SDR EACH REPR I USD0.25
0HXB	TENARIS S.A. USD1
0HY2	CEMENTIR SPA EUR1
0HYI	SIMULATION ANALYSIS & FORECASTING CHF0.04 (BR)
0HYK	SEADRILL LTD USD2
0HYP	AGROS DEVELOPMENT PROODOS EUR1.71
0HYR	PANAYIDES CONTRACTING EUR0.34
0HZC	EURAZEO ORD NPV
0HZD	WENDEL INVESTISSEMENT EUR4
0I0B	ABC ARBITRAGE EUR0.016
0I0H	PISCINES DES JOYAUX EUR3.09
0I0N	FAUVET-GIREL(ETABL.) EUR8
0I0T	ORAL HAMMASLAAKARIT NPV
0I14	SANOMA WSOY OYJ NPV
0I1W	ROYAL CARIBBEAN CRUISES COM STK USD0.01
0I2B	OLTENIA SIF RON0.1
0I2R	ATLANTIA SPA EUR1
0I2T	I.T.B. NPV
0I3F	VIENNA INSURANCE GROUP NPV
0I3I	ATLANTIC AIRWAYS P/F DKK100
0I3T	CATERING INTL SERVICES CIS EUR0.80
0I3Z	DEUTSCHE EUROSHOP AG NPV
0I47	DRAGERWERK AG NON VTG PREF NPV
0I4Q	ST MICROELECTRONICS EUR1.04
0I4X	SODEXHO EUR4
0I50	ELMA HOLDING EUR0.09
0I5O	BERGMAN & BEVING AB SER B NPV
0I5P	GLASTON OYJ NPV
0I5Q	PUNCH GRAPHIX NV EUR4
0I6Q	DELHAIZE FRERES ET CIE(LE LION)SA NPV
0I77	CEE IMOTI REIT BGN1
0I8Y	ELISA OYJ NPV
0I9L	SSAB(SVENSKT STAL)AB SER`A`NPV
0IA2	KINNEVIK INVESTMENTS AB SER`B`NPV
0IAH	SECURITAS AB SER`B`NPV
0IAX	DASSAULT AVIATION EUR8
0IB0	ARKEMA EUR10
0IB6	ANDRE TRIGANO EUR4
0IB7	EUROPACORP EUR0.34
0IB8	ALES GROUPE EUR2
0ICP	CELL THERAPEUTICS INC COM STK NPV
0ICR	ST MICROELECTRONICS EUR1.04
0IDA	PIXELPARK AG NPV
0IDU	DOCKWISE LTD USD0
0IE3	MOLMED SPA NPV
0IE9	SEMAPA SOC INVEST E GESTAO SGPS EUR1
0IEF	SONAE CAPITAL SGPS SA EUR1
0IFM	POL-AQUA S.A. PLN1
0IFR	PETROLINVEST S.A. PLN10
0IGA	ORIOLA-KD CORPORATION SER`B`NPV
0IGF	NEXANS EUR1
