Symbol	Description
DLX18	Class III Milk {Nov 18}
DLX19	Class III Milk {Nov 19}
DLZ18	Class III Milk {Dec 18}
DLZ19	Class III Milk {Dec 19}
E4	Turkish Lira
E4.C	Turkish Lira Continuation
E4H19	Turkish Lira {Mar 19}
E4M19	Turkish Lira {Jun 19}
E4U18	Turkish Lira {Sep 18}
E4U19	Turkish Lira {Sep 19}
E4Z18	Turkish Lira {Dec 18}
E4Z19	Turkish Lira {Dec 19}
E5	Euro/Turkish Lira
E5.C	Euro/Turkish Lira Continuation
E5H19	Euro/Turkish Lira {Mar 19}
E5M19	Euro/Turkish Lira {Jun 19}
E5U18	Euro/Turkish Lira {Sep 18}
E5U19	Euro/Turkish Lira {Sep 19}
E5Z18	Euro/Turkish Lira {Dec 18}
E5Z19	Euro/Turkish Lira {Dec 19}
E6	Euro FX
E6.C	Euro FX Continuation
E6H19	Euro FX {Mar 19}
E6H20	Euro FX {Mar 20}
E6H21	Euro FX {Mar 21}
E6H22	Euro FX {Mar 22}
E6H23	Euro FX {Mar 23}
E6M19	Euro FX {Jun 19}
E6M20	Euro FX {Jun 20}
E6M21	Euro FX {Jun 21}
E6M22	Euro FX {Jun 22}
E6M23	Euro FX {Jun 23}
E6N18	Euro FX {Jul 18}
E6Q18	Euro FX {Aug 18}
E6U18	Euro FX {Sep 18}
E6U19	Euro FX {Sep 19}
E6U20	Euro FX {Sep 20}
E6U21	Euro FX {Sep 21}
E6U22	Euro FX {Sep 22}
E6V18	Euro FX {Oct 18}
E6X18	Euro FX {Nov 18}
E6Z18	Euro FX {Dec 18}
E6Z19	Euro FX {Dec 19}
E6Z20	Euro FX {Dec 20}
E6Z21	Euro FX {Dec 21}
E6Z22	Euro FX {Dec 22}
E7	E-Mini Euro FX
E7.C	E-Mini Euro FX Continuation
E7U18	E-Mini Euro FX {Sep 18}
E7Z18	E-Mini Euro FX {Dec 18}
EC	Euro FX (Pit)
EC.C	Euro FX (Pit) Continuation
ECH19	Euro FX (Pit) {Mar 19}
ECH20	Euro FX (Pit) {Mar 20}
ECH21	Euro FX (Pit) {Mar 21}
ECH22	Euro FX (Pit) {Mar 22}
ECH23	Euro FX (Pit) {Mar 23}
ECM19	Euro FX (Pit) {Jun 19}
ECM20	Euro FX (Pit) {Jun 20}
ECM21	Euro FX (Pit) {Jun 21}
ECM22	Euro FX (Pit) {Jun 22}
ECM23	Euro FX (Pit) {Jun 23}
ECN18	Euro FX (Pit) {Jul 18}
ECQ18	Euro FX (Pit) {Aug 18}
ECU18	Euro FX (Pit) {Sep 18}
ECU19	Euro FX (Pit) {Sep 19}
ECU20	Euro FX (Pit) {Sep 20}
ECU21	Euro FX (Pit) {Sep 21}
ECU22	Euro FX (Pit) {Sep 22}
ECV18	Euro FX (Pit) {Oct 18}
ECX18	Euro FX (Pit) {Nov 18}
ECZ18	Euro FX (Pit) {Dec 18}
ECZ19	Euro FX (Pit) {Dec 19}
ECZ20	Euro FX (Pit) {Dec 20}
ECZ21	Euro FX (Pit) {Dec 21}
ECZ22	Euro FX (Pit) {Dec 22}
ED	Eurodollar (Pit)
ED.C	Eurodollar (Pit) Continuation
EDF19	Eurodollar (Pit) {Jan 19}
EDH19	Eurodollar (Pit) {Mar 19}
EDH20	Eurodollar (Pit) {Mar 20}
