Symbol	Description
M1DU	1-Month Hi-Lo Volume Lt 100K
M1DV	1-Month Hi-Lo Volume GT 100K
M1DW	1-Month Hi-Lo S&P 500 Telcomm
M1DX	1-Month Hi-Lo Overall
M1DY	1-Month Hi-Lo S&P 500 Consumer Disc
M1DZ	1-Month Hi-Lo Russell 3000
M1HA	1-Month Highs AMEX
M1HB	1-Month Highs S&P 500 Materials
M1HC	1-Month Highs Russell 2000
M1HD	1-Month Highs Otcbb
M1HE	1-Month Highs ETFS
M1HF	1-Month Highs S&P 500 Financials
M1HG	1-Month Highs Russell 1000
M1HH	1-Month Highs Price GT $10
M1HI	1-Month Highs S&P 500 Industrials
M1HJ	1-Month Highs S&P 500 Utilities
M1HK	1-Month Highs S&P 500 Info Tech
M1HL	1-Month Highs Price Lt $10
M1HM	1-Month Highs S&P 500 Consumer Staples
M1HN	1-Month Highs NYSE
M1HO	1-Month Highs S&P 100
M1HP	1-Month Highs S&P 500
M1HQ	1-Month Highs Nasdaq
M1HR	1-Month Highs S&P 500 Real Estate
M1HS	1-Month Highs S&P 500 Health Care
M1HT	1-Month Highs S&P 500 Energies
M1HU	1-Month Highs Volume Lt 100K
M1HV	1-Month Highs Volume GT 100K
M1HW	1-Month Highs S&P 500 Telcomm
M1HX	1-Month Highs Overall
M1HY	1-Month Highs S&P 500 Consumer Disc
M1HZ	1-Month Highs Russell 3000
M1LA	1-Month Lows AMEX
M1LB	1-Month Lows S&P 500 Materials
M1LC	1-Month Lows Russell 2000
M1LD	1-Month Lows Otcbb
M1LE	1-Month Lows ETFS
M1LF	1-Month Lows S&P 500 Financials
M1LG	1-Month Lows Russell 1000
M1LH	1-Month Lows Price GT $10
M1LI	1-Month Lows S&P 500 Industrials
M1LJ	1-Month Lows S&P 500 Utilities
M1LK	1-Month Lows S&P 500 Info Tech
M1LL	1-Month Lows Price Lt $10
M1LM	1-Month Lows S&P 500 Consumer Staples
M1LN	1-Month Lows NYSE
M1LO	1-Month Lows S&P 100
M1LP	1-Month Lows S&P 500
M1LQ	1-Month Lows Nasdaq
M1LR	1-Month Lows S&P 500 Real Estate
M1LS	1-Month Lows S&P 500 Health Care
M1LT	1-Month Lows S&P 500 Energies
M1LU	1-Month Lows Volume Lt 100K
M1LV	1-Month Lows Volume GT 100K
M1LW	1-Month Lows S&P 500 Telcomm
M1LX	1-Month Lows Overall
M1LY	1-Month Lows S&P 500 Consumer Disc
M1LZ	1-Month Lows Russell 3000
M3DA	3-Month Hi-Lo AMEX
M3DB	3-Month Hi-Lo S&P 500 Materials
M3DC	3-Month Hi-Lo Russell 2000
M3DD	3-Month Hi-Lo Otcbb
M3DE	3-Month Hi-Lo ETFS
M3DF	3-Month Hi-Lo S&P 500 Financials
M3DG	3-Month Hi-Lo Russell 1000
M3DH	3-Month Hi-Lo Price GT $10
M3DI	3-Month Hi-Lo S&P 500 Industrials
M3DJ	3-Month Hi-Lo S&P 500 Utilities
M3DK	3-Month Hi-Lo S&P 500 Info Tech
M3DL	3-Month Hi-Lo Price Lt $10
M3DM	3-Month Hi-Lo S&P 500 Consumer Staples
M3DN	3-Month Hi-Lo NYSE
M3DO	3-Month Hi-Lo S&P 100
M3DP	3-Month Hi-Lo S&P 500
M3DQ	3-Month Hi-Lo Nasdaq
M3DR	3-Month Hi-Lo S&P 500 Real Estate
M3DS	3-Month Hi-Lo S&P 500 Health Care
M3DT	3-Month Hi-Lo S&P 500 Energies
M3DU	3-Month Hi-Lo Volume Lt 100K
M3DV	3-Month Hi-Lo Volume GT 100K
M3DW	3-Month Hi-Lo S&P 500 Telcomm
M3DX	3-Month Hi-Lo Overall
M3DY	3-Month Hi-Lo S&P 500 Consumer Disc
M3DZ	3-Month Hi-Lo Russell 3000
M3HA	3-Month Highs AMEX
M3HB	3-Month Highs S&P 500 Materials
M3HC	3-Month Highs Russell 2000
M3HD	3-Month Highs Otcbb
M3HE	3-Month Highs ETFS
M3HF	3-Month Highs S&P 500 Financials
M3HG	3-Month Highs Russell 1000
M3HH	3-Month Highs Price GT $10
M3HI	3-Month Highs S&P 500 Industrials
M3HJ	3-Month Highs S&P 500 Utilities
M3HK	3-Month Highs S&P 500 Info Tech
M3HL	3-Month Highs Price Lt $10
M3HM	3-Month Highs S&P 500 Consumer Staples
M3HN	3-Month Highs NYSE
M3HO	3-Month Highs S&P 100
M3HP	3-Month Highs S&P 500
M3HQ	3-Month Highs Nasdaq
M3HR	3-Month Highs S&P 500 Real Estate
M3HS	3-Month Highs S&P 500 Health Care
M3HT	3-Month Highs S&P 500 Energies
M3HU	3-Month Highs Volume Lt 100K
M3HV	3-Month Highs Volume GT 100K
M3HW	3-Month Highs S&P 500 Telcomm
M3HX	3-Month Highs Overall
M3HY	3-Month Highs S&P 500 Consumer Disc
M3HZ	3-Month Highs Russell 3000
M3LA	3-Month Lows AMEX
M3LB	3-Month Lows S&P 500 Materials
M3LC	3-Month Lows Russell 2000
M3LD	3-Month Lows Otcbb
M3LE	3-Month Lows ETFS
M3LF	3-Month Lows S&P 500 Financials
M3LG	3-Month Lows Russell 1000
M3LH	3-Month Lows Price GT $10
M3LI	3-Month Lows S&P 500 Industrials
M3LJ	3-Month Lows S&P 500 Utilities
M3LK	3-Month Lows S&P 500 Info Tech
M3LL	3-Month Lows Price Lt $10
M3LM	3-Month Lows S&P 500 Consumer Staples
M3LN	3-Month Lows NYSE
M3LO	3-Month Lows S&P 100
M3LP	3-Month Lows S&P 500
M3LQ	3-Month Lows Nasdaq
M3LR	3-Month Lows S&P 500 Real Estate
M3LS	3-Month Lows S&P 500 Health Care
M3LT	3-Month Lows S&P 500 Energies
M3LU	3-Month Lows Volume Lt 100K
M3LV	3-Month Lows Volume GT 100K
