Symbol	Description
KYM19	Krone/Yen {Jun 19}
KYU18	Krone/Yen {Sep 18}
KYZ18	Krone/Yen {Dec 18}
L0H19	MSCI ACWI ex-US {Mar 19}
L0M19	MSCI ACWI ex-US {Jun 19}
L0U18	MSCI ACWI ex-US {Sep 18}
L0U19	MSCI ACWI ex-US {Sep 19}
L0Z18	MSCI ACWI ex-US {Dec 18}
L1H19	MSCI ACWI ex-US NTR {Mar 19}
L1M19	MSCI ACWI ex-US NTR {Jun 19}
L1U18	MSCI ACWI ex-US NTR {Sep 18}
L1U19	MSCI ACWI ex-US NTR {Sep 19}
L1Z18	MSCI ACWI ex-US NTR {Dec 18}
L2H19	MSCI ACWI Index {Mar 19}
L2M19	MSCI ACWI Index {Jun 19}
L2U18	MSCI ACWI Index {Sep 18}
L2U19	MSCI ACWI Index {Sep 19}
L2Z18	MSCI ACWI Index {Dec 18}
L3H19	MSCI ACWI NTR Index {Mar 19}
L3M19	MSCI ACWI NTR Index {Jun 19}
L3U18	MSCI ACWI NTR Index {Sep 18}
L3U19	MSCI ACWI NTR Index {Sep 19}
L3Z18	MSCI ACWI NTR Index {Dec 18}
L4H19	MSCI EM Asia Index {Mar 19}
L4M19	MSCI EM Asia Index {Jun 19}
L4U18	MSCI EM Asia Index {Sep 18}
L4U19	MSCI EM Asia Index {Sep 19}
L4Z18	MSCI EM Asia Index {Dec 18}
L5H19	MSCI EM NTR Index {Mar 19}
L5M19	MSCI EM NTR Index {Jun 19}
L5U18	MSCI EM NTR Index {Sep 18}
L5U19	MSCI EM NTR Index {Sep 19}
L5Z18	MSCI EM NTR Index {Dec 18}
MIH19	MSCI USA Growth {Mar 19}
MIM19	MSCI USA Growth {Jun 19}
MIU18	MSCI USA Growth {Sep 18}
MIU19	MSCI USA Growth {Sep 19}
MIZ18	MSCI USA Growth {Dec 18}
NS	Dollar/Krone
NSH19	Dollar/Krone {Mar 19}
NSM19	Dollar/Krone {Jun 19}
NSU18	Dollar/Krone {Sep 18}
NSZ18	Dollar/Krone {Dec 18}
OJF19	Orange Juice {Jan 19}
OJF20	Orange Juice {Jan 20}
OJF21	Orange Juice {Jan 21}
OJH19	Orange Juice {Mar 19}
OJH20	Orange Juice {Mar 20}
OJH21	Orange Juice {Mar 21}
OJK19	Orange Juice {May 19}
OJK20	Orange Juice {May 20}
OJK21	Orange Juice {May 21}
OJN18	Orange Juice {Jul 18}
OJN19	Orange Juice {Jul 19}
OJN20	Orange Juice {Jul 20}
OJU18	Orange Juice {Sep 18}
OJU19	Orange Juice {Sep 19}
OJU20	Orange Juice {Sep 20}
OJX18	Orange Juice {Nov 18}
OJX19	Orange Juice {Nov 19}
OJX20	Orange Juice {Nov 20}
OL	Euro/Krone
OLH19	Euro/Krone {Mar 19}
OLM19	Euro/Krone {Jun 19}
OLU18	Euro/Krone {Sep 18}
OLZ18	Euro/Krone {Dec 18}
OR	Dollar/Rand
ORH19	Dollar/Rand {Mar 19}
ORH20	Dollar/Rand {Mar 20}
ORH21	Dollar/Rand {Mar 21}
ORH22	Dollar/Rand {Mar 22}
ORH23	Dollar/Rand {Mar 23}
ORM19	Dollar/Rand {Jun 19}
ORM20	Dollar/Rand {Jun 20}
ORM21	Dollar/Rand {Jun 21}
ORM22	Dollar/Rand {Jun 22}
ORM23	Dollar/Rand {Jun 23}
ORU18	Dollar/Rand {Sep 18}
ORU19	Dollar/Rand {Sep 19}
ORU20	Dollar/Rand {Sep 20}
ORU21	Dollar/Rand {Sep 21}
ORU22	Dollar/Rand {Sep 22}
ORZ18	Dollar/Rand {Dec 18}
ORZ19	Dollar/Rand {Dec 19}
ORZ20	Dollar/Rand {Dec 20}
ORZ21	Dollar/Rand {Dec 21}
ORZ22	Dollar/Rand {Dec 22}
PK	Pound/Krone
PKH19	Pound/Krone {Mar 19}
PKM19	Pound/Krone {Jun 19}
PKU18	Pound/Krone {Sep 18}
PKZ18	Pound/Krone {Dec 18}
PP	Japanese Yen
PPH19	Japanese Yen {Mar 19}
PPM19	Japanese Yen {Jun 19}
PPU18	Japanese Yen {Sep 18}
PPZ18	Japanese Yen {Dec 18}
PR	Canadian Dollar
PRH19	Canadian Dollar {Mar 19}
PRM19	Canadian Dollar {Jun 19}
PRU18	Canadian Dollar {Sep 18}
PRZ18	Canadian Dollar {Dec 18}
PS	Pound/Krona
PSH19	Pound/Krona {Mar 19}
PSM19	Pound/Krona {Jun 19}
PSU18	Pound/Krona {Sep 18}
PSZ18	Pound/Krona {Dec 18}
PV	Pound/Australian
PVH19	Pound/Australian {Mar 19}
PVM19	Pound/Australian {Jun 19}
PVU18	Pound/Australian {Sep 18}
PVZ18	Pound/Australian {Dec 18}
PW	Pound/Canadian
PWH19	Pound/Canadian {Mar 19}
PWM19	Pound/Canadian {Jun 19}
PWU18	Pound/Canadian {Sep 18}
PWZ18	Pound/Canadian {Dec 18}
PX	Pound/Rand
PXH19	Pound/Rand {Mar 19}
PXM19	Pound/Rand {Jun 19}
PXU18	Pound/Rand {Sep 18}
PXZ18	Pound/Rand {Dec 18}
PY	Euro/Rand
PYH19	Euro/Rand {Mar 19}
PYM19	Euro/Rand {Jun 19}
PYU18	Euro/Rand {Sep 18}
PYZ18	Euro/Rand {Dec 18}
PZ	Swiss Franc
PZH19	Swiss Franc {Mar 19}
PZM19	Swiss Franc {Jun 19}
PZU18	Swiss Franc {Sep 18}
PZZ18	Swiss Franc {Dec 18}
R1H19	MSCI Canada Index {Mar 19}
R1M19	MSCI Canada Index {Jun 19}
R1U18	MSCI Canada Index {Sep 18}
R1U19	MSCI Canada Index {Sep 19}
R1Z18	MSCI Canada Index {Dec 18}
R2H19	MSCI World Index {Mar 19}
R2M19	MSCI World Index {Jun 19}
R2U18	MSCI World Index {Sep 18}
R2U19	MSCI World Index {Sep 19}
R2Z18	MSCI World Index {Dec 18}
RK	Euro/Krona
RKH19	Euro/Krona {Mar 19}
RKM19	Euro/Krona {Jun 19}
RKU18	Euro/Krona {Sep 18}
RKZ18	Euro/Krona {Dec 18}
RZ	Euro/Swiss
RZH19	Euro/Swiss {Mar 19}
RZM19	Euro/Swiss {Jun 19}
RZU18	Euro/Swiss {Sep 18}
RZZ18	Euro/Swiss {Dec 18}
S2H19	MSCI EMLA Index {Mar 19}
S2M19	MSCI EMLA Index {Jun 19}
S2U18	MSCI EMLA Index {Sep 18}
S2U19	MSCI EMLA Index {Sep 19}
S2Z18	MSCI EMLA Index {Dec 18}
SB	Sugar #11
SBH19	Sugar #11 {Mar 19}
SBH20	Sugar #11 {Mar 20}
SBH21	Sugar #11 {Mar 21}
SBK19	Sugar #11 {May 19}
SBK20	Sugar #11 {May 20}
SBK21	Sugar #11 {May 21}
SBN19	Sugar #11 {Jul 19}
SBN20	Sugar #11 {Jul 20}
SBV18	Sugar #11 {Oct 18}
SBV19	Sugar #11 {Oct 19}
SBV20	Sugar #11 {Oct 20}
SDF19	Sugar #16 {Jan 19}
SDF20	Sugar #16 {Jan 20}
SDH19	Sugar #16 {Mar 19}
SDH20	Sugar #16 {Mar 20}
SDK19	Sugar #16 {May 19}
SDK20	Sugar #16 {May 20}
SDN19	Sugar #16 {Jul 19}
SDU18	Sugar #16 {Sep 18}
SDU19	Sugar #16 {Sep 19}
SDX18	Sugar #16 {Nov 18}
SDX19	Sugar #16 {Nov 19}
SS	Pound/Swiss
SSH19	Pound/Swiss {Mar 19}
SSM19	Pound/Swiss {Jun 19}
SSU18	Pound/Swiss {Sep 18}
SSZ18	Pound/Swiss {Dec 18}
SY	Pound/Yen
SYH19	Pound/Yen {Mar 19}
SYM19	Pound/Yen {Jun 19}
SYU18	Pound/Yen {Sep 18}
SYZ18	Pound/Yen {Dec 18}
UY	Dollar/Forint
UYH19	Dollar/Forint {Mar 19}
UYM19	Dollar/Forint {Jun 19}
UYU18	Dollar/Forint {Sep 18}
UYZ18	Dollar/Forint {Dec 18}
UZ	Dollar/Koruna
UZH19	Dollar/Koruna {Mar 19}
UZM19	Dollar/Koruna {Jun 19}
UZU18	Dollar/Koruna {Sep 18}
UZZ18	Dollar/Koruna {Dec 18}
YA	Aussie/Yen
YAH19	Aussie/Yen {Mar 19}
YAM19	Aussie/Yen {Jun 19}
YAU18	Aussie/Yen {Sep 18}
YAZ18	Aussie/Yen {Dec 18}
YGG19	Gold mini-sized {Feb 19}
YGG20	Gold mini-sized {Feb 20}
YGJ19	Gold mini-sized {Apr 19}
YGJ20	Gold mini-sized {Apr 20}
YGM19	Gold mini-sized {Jun 19}
YGM20	Gold mini-sized {Jun 20}
YGM21	Gold mini-sized {Jun 21}
YGM22	Gold mini-sized {Jun 22}
YGM23	Gold mini-sized {Jun 23}
YGN18	Gold mini-sized {Jul 18}
YGQ18	Gold mini-sized {Aug 18}
YGQ19	Gold mini-sized {Aug 19}
YGU18	Gold mini-sized {Sep 18}
YGV18	Gold mini-sized {Oct 18}
YGV19	Gold mini-sized {Oct 19}
YGZ18	Gold mini-sized {Dec 18}
YGZ19	Gold mini-sized {Dec 19}
YGZ20	Gold mini-sized {Dec 20}
YGZ21	Gold mini-sized {Dec 21}
YGZ22	Gold mini-sized {Dec 22}
YIF19	Silver mini-sized {Jan 19}
YIF20	Silver mini-sized {Jan 20}
YIH19	Silver mini-sized {Mar 19}
YIH20	Silver mini-sized {Mar 20}
YIK19	Silver mini-sized {May 19}
YIK20	Silver mini-sized {May 20}
YIN18	Silver mini-sized {Jul 18}
YIN19	Silver mini-sized {Jul 19}
YIN20	Silver mini-sized {Jul 20}
YIN21	Silver mini-sized {Jul 21}
YIN22	Silver mini-sized {Jul 22}
YIQ18	Silver mini-sized {Aug 18}
YIU18	Silver mini-sized {Sep 18}
YIU19	Silver mini-sized {Sep 19}
YIZ18	Silver mini-sized {Dec 18}
YIZ19	Silver mini-sized {Dec 19}
YIZ20	Silver mini-sized {Dec 20}
YIZ21	Silver mini-sized {Dec 21}
YIZ22	Silver mini-sized {Dec 22}
YNH19	Colombian Peso {Mar 19}
YNM19	Colombian Peso {Jun 19}
YNU18	Colombian Peso {Sep 18}
YNZ18	Colombian Peso {Dec 18}
YO	Mexican Peso
YOH19	Mexican Peso {Mar 19}
YOM19	Mexican Peso {Jun 19}
